Feature,juror_z-stat_maps/juror_scenario.nii.gz,juror_z-stat_maps/juror_evidence.nii.gz,juror_z-stat_maps/juror_case_strength.nii.gz,juror_z-stat_maps/juror_punishment.nii.gz
larger,-0.013,-0.0466,0.0311,-0.0528
late,0.0223,0.0011,-0.0186,0.0496
latencies,-0.0284,-0.0936,0.0321,-0.0014
latency,0.0079,-0.0309,0.0199,0.0108
later,0.0267,0.0375,0.0361,0.0074
lateral,0.0246,0.2072,-0.0603,0.0551
lateral frontal,0.0619,0.2057,-0.0426,0.0644
lateral medial,-0.0306,0.0128,-0.0007,0.0311
lateral occipital,0.0655,0.0065,0.0197,0.13
lateral orbitofrontal,-0.045,0.0976,-0.003,-0.02
lateral parietal,-0.0286,0.1067,-0.0225,-0.04
lateral prefrontal,-0.0177,0.282,-0.0975,-0.0097
lateral temporal,0.0794,0.009,-0.019,0.0156
laterality,-0.0026,-0.0752,-0.0027,-0.0111
lateralization,0.051,-0.0164,-0.0523,0.0299
lateralized,0.0307,0.0228,-0.0947,0.0683
lead,-0.1049,-0.0868,0.0448,-0.049
leading,-0.0408,-0.0433,0.0168,-0.0347
leads,0.0259,0.0066,0.0556,-0.0214
learn,-0.0146,-0.0356,0.0049,0.0422
learned,0.0111,-0.0057,0.0357,0.0345
learning,-0.0323,0.0674,0.0465,0.0257
learning task,-0.0382,0.0869,0.0029,0.018
led,-0.0486,-0.009,-0.0015,-0.0351
length,-0.0086,0.0134,-0.0124,-0.0063
lesion,-0.0038,0.0189,0.0024,-0.0482
lesions,-0.0152,-0.0131,0.0245,-0.0076
lesser,0.0703,-0.0007,-0.0367,0.0455
letter,0.093,0.1714,-0.0516,0.1458
letters,0.0297,0.1332,-0.0187,0.0735
level,-0.0146,-0.0771,-0.0004,-0.0762
level bold,-0.0592,-0.1109,0.0168,-0.0809
level signal,0.0149,0.0188,0.0515,-0.009
levels,-0.0564,-0.0126,0.0149,-0.0455
lexical,0.1358,0.1213,-0.0363,0.1768
lexical decision,0.0607,0.0225,-0.013,0.0689
life,0.042,0.0323,-0.0151,0.01
light,0.0308,-0.0058,0.001,0.0446
like,0.0684,0.0876,-0.0422,0.039
likelihood,-0.017,0.0707,-0.0331,0.0458
likely,0.0211,0.0106,-0.0213,0.0208
limb,-0.0987,-0.3027,0.0381,-0.0476
limbic,-0.0313,-0.0943,0.0596,-0.0467
limitations,-0.0768,-0.0138,0.0258,-0.0703
limited,0.0177,-0.0184,0.0467,0.064
line,0.0167,0.07,-0.007,0.0382
linear,-0.08,-0.1426,0.032,-0.0537
linear model,-0.0253,-0.1421,0.013,-0.0041
linearly,-0.0654,-0.0544,0.0122,-0.07
lingual,0.0441,-0.0608,0.0083,0.0736
lingual gyrus,0.0395,-0.0436,-0.0073,0.0703
linguistic,0.1594,0.1335,-0.1148,0.1319
link,0.0533,0.0943,-0.0006,0.0428
linked,-0.0081,0.0919,-0.0015,-0.0358
linking,0.0465,0.0992,-0.0359,0.0346
links,0.0075,0.0254,0.0111,0.0423
list,0.0417,0.0574,-0.003,0.0767
listened,-0.0158,-0.1767,-0.0241,-0.0042
listening,0.0027,-0.1962,-0.0223,-0.0353
literature,0.0545,0.0668,-0.0088,0.023
little,0.0402,0.0448,0.0219,-0.0114
little known,0.0676,0.0902,-0.0009,-0.0072
load,0.014,0.2282,-0.0623,0.0354
lobe,0.0292,0.0628,0.0082,-0.0489
lobe mtl,0.0306,0.0968,0.0475,0.0089
lobes,0.0563,0.0635,-0.0199,0.0131
lobule,-0.0571,0.0385,-0.0293,-0.0228
lobule ipl,0.029,0.1115,-0.0268,0.0135
lobules,0.0123,0.1281,-0.0754,0.0331
local,-0.0646,-0.2015,0.0941,-0.09
localization,-0.0668,-0.156,0.0719,-0.0791
localize,-0.0682,-0.1486,0.0273,-0.0833
localized,-0.0345,-0.1403,0.0428,-0.0357
located,-0.0058,-0.0511,0.0202,0.0012
location,-0.0256,-0.129,0.0713,-0.0087
locations,-0.0264,-0.0299,0.0507,-0.0238
locus,0.0257,0.0179,0.0171,0.0105
long,-0.0024,0.0095,0.0389,-0.0402
long term,0.0772,0.1214,-0.0311,0.0104
longer,-0.0365,-0.0417,0.0217,-0.0199
longitudinal,-0.0765,-0.0783,0.1185,-0.1106
loop,-0.0143,0.0627,-0.0234,0.0663
loss,-0.0872,-0.1069,0.0949,-0.0696
losses,-0.0656,0.1096,0.0026,-0.01
low,-0.0324,0.0125,0.023,-0.0124
low frequency,-0.0727,-0.1063,0.0429,-0.0923
low high,-0.0184,-0.0368,0.0224,-0.0281
low level,0.0452,-0.0903,0.0155,0.046
lower,-0.096,-0.073,0.0079,-0.1084
m1,-0.1317,-0.3059,0.0535,-0.0964
machine,-0.0418,-0.0282,0.009,-0.0975
magnetic,-0.0634,-0.0902,0.0148,-0.0358
magnetic resonance,-0.0577,-0.0716,0.0054,-0.0238
magnetic stimulation,-0.0793,-0.1945,0.0517,-0.0931
magnetoencephalography,-0.1157,-0.2606,0.0607,-0.1401
magnitude,-0.0511,-0.0151,0.0381,-0.084
main,0.0283,0.04,-0.0161,0.0483
main effect,-0.01,-0.0155,0.0117,0.0157
mainly,-0.0891,-0.1283,0.0174,-0.0927
maintain,0.0515,0.1247,-0.0436,0.0261
maintained,0.0263,0.0968,-0.0184,0.0285
maintaining,-0.0269,0.0596,-0.044,0.0022
maintenance,0.054,0.2277,-0.0742,0.0453
major,-0.1082,-0.0427,0.0531,-0.1292
major depression,-0.0607,-0.0082,0.0344,-0.073
major depressive,-0.0781,0.0024,0.0393,-0.1068
majority,-0.0498,-0.0969,0.0091,-0.0528
make,0.0065,0.1778,-0.0414,0.0324
making,-0.0618,0.1383,-0.0259,-0.0106
male,-0.0477,-0.0653,-0.0096,-0.088
male female,-0.0129,-0.0263,-0.0127,-0.0181
males,-0.0364,-0.0648,0.0282,-0.0893
manifest,0.0635,0.0998,-0.0122,0.0302
manipulated,0.0636,0.1163,-0.0338,0.0597
manipulating,0.0437,0.1578,-0.031,0.034
manipulation,0.0053,0.0975,-0.0175,0.0684
manipulations,0.0131,0.0552,-0.02,0.0648
manner,0.0341,0.0061,0.0199,-0.0052
manual,-0.0557,-0.1597,0.0458,-0.0178
map,-0.0554,-0.0982,-0.0054,-0.0277
mapp,-0.0386,-0.0203,-0.0011,0.0057
mapped,-0.0122,-0.0181,0.0099,-0.0383
mapping,-0.0602,-0.0731,0.0175,-0.0666
maps,-0.0936,-0.1991,0.0735,-0.1134
marked,-0.0006,0.0019,0.0029,0.017
marker,-0.09,-0.0467,0.072,-0.0755
markers,-0.0286,0.0276,-0.0003,-0.0846
masked,-0.0183,-0.0003,0.0129,-0.0181
mass,-0.0117,-0.0043,0.0087,0.0008
match,-0.02,0.0446,-0.0111,0.0413
matching,0.0909,0.1351,-0.0373,0.0848
matching task,0.0688,0.1429,-0.0261,0.0735
material,0.0699,0.2054,-0.0486,0.101
materials,0.0122,0.1296,-0.0477,0.0351
matrix,-0.0501,-0.0683,0.0023,-0.0736
matter,-0.1462,-0.1019,0.15,-0.2103
matter density,-0.0692,-0.0279,0.0213,-0.0621
matter gm,-0.0763,-0.0297,0.059,-0.1219
matter volume,-0.1238,-0.1029,0.1118,-0.1637
matter volumes,-0.0901,-0.0652,0.0579,-0.1069
maturation,-0.0228,0.0061,0.0163,-0.051
maximal,-0.0697,-0.0801,0.0214,-0.0377
maximum,-0.0621,-0.0664,0.0005,-0.0359
mci,0.0211,0.0294,0.0807,0.0112
mdd,-0.0995,-0.0256,0.0482,-0.1171
mean,-0.0835,-0.1006,0.098,-0.0986
mean age,-0.013,-0.041,0.053,-0.0422
meaning,0.1142,0.0856,-0.0551,0.1353
meaningful,0.0811,-0.0125,-0.022,0.0573
means,-0.0402,-0.0342,0.0438,-0.0419
measure,-0.0864,-0.1182,0.0549,-0.1116
measurement,-0.0309,-0.0674,0.0109,-0.0633
measurements,-0.0981,-0.1176,0.0337,-0.1223
measures,-0.084,-0.1466,0.0805,-0.1807
measuring,-0.0238,-0.1296,0.0199,-0.0637
mechanism,-0.0087,-0.0365,0.059,-0.0436
mechanisms,-0.0111,0.0398,0.0244,0.011
mechanisms involved,0.0125,0.0559,-0.0028,0.023
mechanisms underlying,-0.0358,-0.0625,0.0622,-0.0359
medial,0.0119,0.097,-0.0059,0.0066
medial frontal,-0.0415,0.0538,-0.0245,-0.0075
medial lateral,-0.039,0.0821,0.0228,-0.0188
medial orbitofrontal,-0.0391,0.0101,0.0537,-0.0259
medial pfc,-0.0036,0.0726,-0.0277,0.006
medial prefrontal,-0.0097,0.0264,-0.0252,-0.0211
medial superior,0.0274,0.0033,-0.028,0.0101
medial temporal,0.0679,0.1258,0.0265,0.0408
median,-0.1245,-0.2773,0.0618,-0.0902
mediate,-0.0376,-0.0481,0.0275,-0.0153
mediated,-0.0228,0.0329,0.0263,-0.0214
mediates,-0.0312,0.0844,-0.0075,0.0252
mediating,-0.0208,0.0223,0.0171,-0.0275
medication,-0.0903,-0.0495,0.049,-0.11
meg,-0.1021,-0.231,0.0603,-0.128
memories,0.0879,0.1536,0.0088,0.0907
memory,0.0767,0.3871,-0.0584,0.0915
memory encoding,0.0777,0.135,-0.0085,0.1029
memory load,-0.0208,0.1742,-0.0548,0.0027
memory performance,0.0232,0.169,-0.0382,-0.0149
memory processes,0.0139,0.1387,-0.029,0.0519
memory retrieval,0.0631,0.2424,-0.0267,0.0738
memory task,0.0007,0.2294,-0.0742,0.0076
memory tasks,0.041,0.1722,-0.0576,0.0274
memory test,0.0384,0.1037,0.0096,0.0127
memory wm,0.0002,0.1809,-0.043,0.0096
men,0.005,0.003,0.0243,-0.0088
men women,0.002,0.0517,-0.0249,0.0234
mental,0.0913,0.0914,-0.0644,0.0332
mental imagery,0.0485,0.013,0.0054,0.0656
mental state,0.0955,0.0361,-0.054,0.0145
mental states,0.1551,0.0212,-0.0619,0.0259
mentalizing,0.1673,0.0569,-0.0555,0.062
mesial,-0.0465,-0.0761,0.0336,-0.0483
mesolimbic,0.0428,0.1309,0.0174,0.083
met,-0.0315,0.013,0.0049,-0.0731
metabolic,-0.0624,0.0054,0.0485,-0.0196
metabolism,-0.0842,-0.0537,0.0331,-0.1042
method,-0.1101,-0.1318,0.0442,-0.0665
methodological,-0.0423,-0.0288,-0.0048,-0.0352
methodology,-0.0384,0.0351,-0.0355,-0.0876
methodology principal,-0.0328,0.0747,-0.0553,-0.0372
methods,-0.1252,-0.0915,0.0774,-0.1821
methods functional,0.06,0.0375,-0.0154,0.0095
mfg,0.0224,0.0917,-0.039,-0.0674
mg,-0.0681,0.0244,0.012,-0.0777
mid,-0.045,-0.0423,0.0159,-0.0306
midbrain,0.0529,0.0473,0.0426,0.0197
middle,0.1116,0.0711,-0.0795,0.057
middle cingulate,-0.0752,-0.1142,0.0324,-0.0541
middle frontal,0.0005,0.1406,-0.0969,-0.0381
middle inferior,0.0641,0.1003,-0.0367,0.0506
middle occipital,0.0183,-0.0558,0.0424,0.0411
middle superior,0.0303,-0.0499,0.0003,0.0069
middle temporal,0.2056,0.096,-0.0761,0.1179
midline,-0.0302,-0.0603,0.0213,0.0041
mild,-0.0261,-0.0189,0.0196,-0.0242
mild cognitive,0.0172,0.0345,0.0409,-0.0139
min,-0.0702,-0.1308,0.03,-0.0799
mind,0.1693,0.0957,-0.0865,0.0243
mind tom,0.1763,0.0533,-0.0716,0.0012
minimal,0.0097,-0.0063,-0.0114,0.0122
mirror,0.0221,-0.1159,-0.0215,0.036
mirror neuron,0.0537,-0.0588,-0.0223,0.0459
mixed,-0.0764,-0.0772,0.0186,-0.0204
mm,-0.0817,0.0071,0.0215,-0.0805
mnemonic,0.0261,0.0599,-0.001,0.0152
modal,-0.0197,-0.1568,0.0149,0.0083
modalities,-0.0204,-0.0335,-0.021,0.0474
modality,0.0561,0.0023,-0.0551,0.1002
mode,-0.0552,-0.0155,-0.0315,-0.0718
mode network,-0.0635,-0.0366,-0.0043,-0.0964
model,-0.0395,-0.0485,-0.0007,-0.0211
modeling,0.0174,0.0226,-0.0258,0.0227
models,0.0037,-0.0255,-0.0079,0.0795
moderate,-0.0798,-0.0723,-0.016,-0.0797
modified,0.0018,0.0542,-0.0364,0.0071
modulate,0.0238,0.0104,0.0365,0.018
modulated,-0.0144,-0.0047,0.0016,0.0444
modulates,-0.0228,-0.0181,-0.0,0.0014
modulating,-0.0124,0.0144,-0.0353,-0.0187
modulation,-0.0225,-0.047,0.0233,-0.0156
modulations,-0.0809,-0.1297,0.0232,-0.0275
modulatory,-0.0143,-0.0896,0.0311,-0.0194
monetary,-0.011,0.1051,0.0372,0.066
monetary incentive,0.0115,0.1013,0.0283,0.0778
monetary reward,0.0452,0.135,0.0286,0.0819
money,-0.0456,0.0192,0.0535,0.0543
monitor,-0.0048,-0.0163,-0.0175,-0.0142
monitored,-0.005,0.0037,0.003,0.0278
monitoring,-0.0453,0.063,-0.096,0.0113
monkey,0.0136,-0.07,0.0528,0.0547
monkeys,-0.0238,-0.0431,0.0503,0.0218
months,-0.0693,-0.0896,0.037,-0.0608
mood,-0.0158,-0.0001,0.032,-0.0872
moral,0.0633,0.0422,-0.0327,0.0038
morphological,-0.0293,-0.0616,0.0542,-0.0365
morphology,-0.0587,-0.0966,0.0288,-0.0827
morphometry,-0.0967,-0.097,0.1123,-0.1964
morphometry vbm,-0.0307,-0.0103,0.0465,-0.1215
motion,0.1069,-0.1035,0.0537,0.1163
motivation,0.0079,0.112,0.017,0.0685
motivational,-0.0199,0.0854,0.0015,0.0436
motor,-0.0885,-0.2614,0.0312,-0.0307
motor control,-0.0694,-0.1482,0.0351,-0.0272
motor cortex,-0.1313,-0.3674,0.0418,-0.0827
motor function,-0.0787,-0.2151,0.0471,-0.0915
motor imagery,-0.0098,-0.1693,0.0252,0.0242
motor network,-0.0545,-0.1701,-0.0078,-0.0431
motor performance,-0.0859,-0.1915,0.042,-0.0606
motor pre,0.0251,0.0968,-0.0636,0.0359
motor premotor,-0.0468,-0.1664,0.0303,-0.0634
motor response,-0.0021,0.034,-0.0506,0.0214
motor responses,-0.0053,-0.0101,-0.0128,0.0187
motor sma,-0.059,-0.2182,0.0276,-0.0284
motor task,-0.0894,-0.2092,0.0425,-0.0572
movement,-0.0933,-0.3164,0.0721,-0.0417
movements,-0.0404,-0.2575,0.0408,0.0128
moving,0.0566,-0.101,0.0322,0.03
mpfc,-0.0314,0.0453,-0.0084,-0.0083
mr,-0.0504,-0.0802,0.0088,-0.0617
ms,-0.0733,-0.111,0.0487,-0.0749
mt,0.0224,-0.0939,0.0824,0.1059
mtg,0.1104,0.0167,-0.0744,0.0258
mtl,0.0361,0.1152,0.0467,0.0231
multi,-0.0299,-0.0631,0.0309,-0.0424
multimodal,0.0185,-0.0954,0.0194,0.0259
multiple,-0.0497,0.0014,0.0773,-0.0222
multiple comparisons,-0.0412,0.0038,0.0177,-0.0593
multiple sclerosis,-0.0606,-0.0257,0.0317,-0.0431
multisensory,-0.0523,-0.2484,0.0572,-0.0041
multivariate,0.0066,0.0126,-0.0128,0.0149
multivariate pattern,-0.0334,-0.0258,0.0174,-0.0274
muscle,-0.0597,-0.27,0.0718,-0.0892
music,-0.0484,-0.1475,-0.0495,-0.0555
musical,-0.0734,-0.1368,-0.0542,-0.0651
musicians,-0.0844,-0.1474,-0.0403,-0.0739
naive,-0.0772,-0.0238,0.0464,-0.092
names,0.0648,0.1116,-0.0324,0.0585
naming,0.0453,0.0292,0.0158,0.1471
native,0.1304,0.116,-0.0367,0.1623
natural,0.0408,-0.0932,0.0244,0.0343
naturalistic,0.0565,-0.0414,-0.0369,0.0252
nature,0.0776,0.092,-0.0398,0.0614
navigation,0.0381,0.0448,0.0056,0.0432
near,-0.0332,-0.0986,0.0306,-0.0516
necessary,0.0078,0.0227,-0.0017,0.001
need,0.0462,0.0693,-0.0012,0.0282
needed,-0.0018,0.0337,-0.0071,-0.0452
needs,0.0136,-0.0448,0.0303,0.0336
negative,-0.0281,0.0208,0.0413,-0.0904
negative affect,-0.0013,-0.0096,-0.0205,-0.0222
negative correlation,-0.0683,-0.0509,0.0624,-0.0894
negative correlations,-0.0864,-0.0857,0.0573,-0.07
negative emotional,0.0109,0.0277,0.0009,-0.0484
negative emotions,0.0039,0.0011,-0.0387,-0.0277
negative feedback,-0.0291,0.0776,0.0121,-0.0239
negative neutral,0.0667,0.0556,0.0142,0.0166
negative positive,0.0068,0.0328,0.0139,-0.0155
negatively,-0.0677,-0.0236,0.0235,-0.0785
negatively correlated,-0.0672,-0.0256,0.0173,-0.0401
negativity,-0.0612,-0.0011,-0.0025,-0.0616
neocortical,0.0369,0.0689,0.0077,0.0158
nerve,-0.1218,-0.2286,0.0612,-0.152
nervous,-0.1066,-0.2843,0.0548,-0.0738
network,0.0884,0.1026,-0.1104,0.0771
network connectivity,-0.039,-0.0032,-0.0549,0.0222
network dmn,-0.0597,-0.0276,0.009,-0.1042
network involved,0.032,0.0695,-0.0354,0.0302
networks,-0.0144,0.0574,-0.0918,0.0119
networks involved,0.0674,0.0258,-0.0457,0.0789
neuro,-0.0115,0.0079,-0.0182,0.0451
neuroanatomical,-0.0532,-0.0362,0.0259,-0.0471
neuroanatomy,0.0155,-0.0991,-0.0075,-0.0316
neurobiological,-0.0653,-0.0225,0.0435,-0.0729
neurobiology,0.0313,0.0268,-0.0042,0.0534
neurocognitive,0.022,0.1199,-0.0501,0.0025
neurodegenerative,-0.0414,-0.0663,0.0451,-0.1074
neurodevelopmental,-0.0308,-0.0115,0.0199,-0.1014
neurofunctional,0.0023,0.0035,0.0081,0.0446
neurological,-0.0587,-0.1514,0.0692,-0.0961
neuron,0.056,-0.0363,-0.0191,0.0333
neuronal,-0.0111,-0.0032,0.029,-0.0074
neurons,-0.0069,-0.0517,0.0445,0.0131
neurophysiological,-0.0074,-0.1467,0.0211,0.013
neuropsychiatric,-0.0438,-0.0076,0.0277,-0.0498
neuropsychological,-0.0078,0.1335,-0.031,-0.0338
neuroscience,-0.0044,-0.0013,-0.0339,-0.0375
neutral,0.08,0.0332,0.0199,0.0307
neutral faces,0.0364,0.0217,0.025,-0.0208
neutral pictures,0.0664,0.0219,0.0135,0.0254
neutral stimuli,-0.012,-0.017,-0.0071,0.0014
new,0.0174,0.0805,0.03,0.0694
new insights,0.0155,-0.0059,-0.0157,-0.0086
newly,0.0088,-0.0122,0.0333,-0.0095
nineteen,-0.041,0.0648,0.011,-0.0238
nociceptive,-0.0987,-0.1394,0.0115,-0.0993
node,-0.0117,-0.0371,0.014,-0.0193
nodes,-0.0252,0.0191,-0.0124,-0.0077
nogo,-0.0155,-0.0027,-0.0561,-0.0234
noise,-0.0738,-0.1705,0.0312,-0.0591
non,-0.0727,-0.1826,0.0177,-0.0854
normal,-0.0639,-0.1341,0.0522,-0.1003
normal controls,-0.0436,0.0095,-0.0002,-0.1116
normalized,-0.045,-0.0355,0.0256,-0.0612
normally,0.0043,-0.0389,0.0179,0.0471
notably,0.0049,-0.0131,-0.0283,-0.0024
noted,-0.0246,0.0077,0.0034,-0.0114
notion,0.045,0.1195,-0.056,0.0741
nouns,0.1199,0.1092,-0.0191,0.1377
novel,0.0291,0.1246,-0.0465,0.0671
novelty,0.0418,0.1121,-0.0242,0.0777
noxious,-0.1221,-0.1174,0.0156,-0.1164
nuclei,0.0193,0.1157,-0.0178,-0.0017
nucleus,0.0011,0.1174,0.0211,0.0539
nucleus accumbens,0.0057,0.0784,0.0412,0.0412
number,-0.0348,0.1535,-0.0028,0.014
numbers,-0.0211,0.1643,-0.021,0.0066
numerical,-0.015,0.1255,-0.0215,0.002
numerous,-0.0144,0.0024,0.0297,-0.0295
object,0.1123,0.056,0.0082,0.1598
object recognition,0.0463,-0.0109,-0.0003,0.0489
objective,-0.0799,-0.1337,0.042,-0.1227
objectives,-0.073,-0.0898,0.0177,-0.0823
objects,0.1011,0.0815,0.0148,0.155
observation,0.0591,-0.082,-0.0174,0.0765
observations,0.0386,0.0776,-0.0259,0.0548
observer,0.08,0.0022,-0.0025,0.0723
observers,0.1037,-0.0025,-0.026,0.0274
observing,0.0812,-0.0434,-0.0066,0.055
obsessive,-0.0699,0.0516,0.0187,-0.0678
obsessive compulsive,-0.0689,0.0512,0.0157,-0.0698
obtain,-0.0137,-0.045,0.0376,-0.0523
obtained,-0.041,-0.0771,0.045,-0.0578
occipital,0.0903,-0.0046,0.0382,0.1379
occipital cortex,0.0833,-0.0144,0.0361,0.1268
occipital gyrus,0.0771,0.0025,0.0028,0.0618
occipital lobe,0.0017,-0.0245,0.0385,0.0319
occipital parietal,-0.0073,0.0139,0.0368,0.021
occipital temporal,0.0954,0.0695,-0.0294,0.0813
occipito,0.1331,0.0799,-0.0108,0.1591
occipito temporal,0.1246,0.0878,-0.0219,0.1493
occipitotemporal,0.1362,0.0729,-0.0183,0.1606
occipitotemporal cortex,0.1075,0.0613,-0.0218,0.1357
occur,0.0136,-0.0088,0.0248,-0.0514
occurred,0.0086,-0.0159,0.0141,0.0192
occurrence,-0.0079,0.0075,0.024,-0.043
occurring,-0.0318,-0.073,0.0013,-0.0198
occurs,-0.0159,-0.0889,0.0195,-0.0283
ocd,-0.0636,0.0553,0.009,-0.0601
oddball,0.0021,-0.066,-0.0249,0.0326
ofc,-0.0211,0.1014,0.0149,-0.0153
offer,0.0137,-0.0317,0.0179,-0.005
offers,-0.0395,-0.0617,0.0008,-0.0047
old,-0.0136,0.0611,-0.0158,0.0323
older,0.0131,0.08,-0.0178,0.0016
older adults,0.0195,0.0782,-0.0149,-0.005
olfactory,-0.0341,0.0049,0.0165,-0.0885
ones,-0.0263,0.044,-0.0127,0.016
ongoing,-0.0024,0.0602,-0.0426,-0.0237
online,0.0164,-0.0244,0.0003,0.0436
onset,-0.0811,-0.2056,0.1028,-0.114
open,-0.005,-0.0348,-0.0165,0.0144
operation,0.0662,0.1467,-0.0211,0.0592
operations,0.0635,0.1937,-0.0412,0.1036
opercular,-0.0639,-0.1554,0.0281,-0.0052
opercularis,0.0438,-0.0433,0.0065,0.0183
operculum,-0.0614,-0.1514,-0.0159,-0.0643
opportunity,-0.0503,-0.0165,0.0372,0.0018
opposed,0.0072,-0.0823,0.038,0.0304
opposite,-0.0599,-0.1286,0.0493,-0.0491
optimal,-0.0383,0.0523,-0.0561,-0.0761
optimized,-0.0602,-0.0208,0.0269,-0.0808
options,-0.0301,0.0582,-0.0193,-0.0015
oral,0.0181,-0.0964,0.0542,-0.0065
orbital,-0.0027,0.0672,0.0227,0.001
orbitofrontal,-0.0554,0.0902,0.0141,-0.0604
orbitofrontal cortex,-0.0433,0.0998,0.0093,-0.0472
order,-0.0721,-0.0412,-0.0122,-0.0549
organization,-0.0535,-0.1237,0.0276,-0.0429
organized,-0.0103,-0.0259,-0.0118,0.0036
orientation,-0.0027,0.028,0.0309,0.0047
oriented,-0.0284,0.0538,-0.0091,-0.0114
orienting,0.0952,0.0629,-0.0512,0.0536
origin,-0.0739,-0.1207,0.0244,-0.0825
original,0.0252,0.0732,-0.0132,0.0645
orthographic,0.1078,0.1884,-0.0412,0.1695
oscillations,-0.0777,-0.1541,0.0504,-0.0694
outcome,-0.0219,0.0645,-0.0117,-0.0067
outcomes,-0.063,0.0722,0.0259,-0.0385
output,-0.0715,-0.1609,0.0131,-0.0253
outside,0.0377,0.0792,-0.024,0.0498
outside scanner,0.0474,0.1017,-0.0226,0.0778
overall,0.03,-0.026,0.0226,0.033
overcome,0.0085,0.0123,-0.019,0.0202
overlap,0.0498,0.1099,-0.0109,0.1156
overlapped,0.0434,0.0657,-0.0305,0.1063
overlapping,0.0545,0.0081,-0.0312,0.0961
overt,-0.0113,-0.1071,-0.0061,0.0508
oxygen,-0.0926,-0.1305,0.0384,-0.1144
oxygen level,-0.083,-0.1283,0.0338,-0.0979
oxygenation,-0.0237,-0.0508,0.0214,-0.0692
oxygenation level,-0.0181,-0.0413,0.0185,-0.0563
paced,-0.0461,-0.1772,0.0541,-0.0126
pain,-0.1411,-0.2284,0.0404,-0.1143
painful,-0.1391,-0.1723,0.0061,-0.097
pair,-0.0362,-0.0428,0.0379,-0.0167
paired,-0.0361,0.0212,0.0041,-0.0232
pairs,0.0593,0.1659,-0.0524,0.1123
pallidus,-0.0186,0.0067,0.018,-0.0092
paper,-0.0248,-0.0769,0.0548,-0.0022
paradigm,0.0895,0.15,-0.1036,0.1057
paradigms,0.0468,0.0735,-0.0384,0.0183
parahippocampal,0.0361,0.0318,0.017,0.0337
parahippocampal cortex,0.0255,0.0583,0.0073,0.0503
parahippocampal gyrus,0.0377,0.0059,0.0175,0.0184
parahippocampus,-0.0466,-0.0741,0.0196,-0.0434
paralimbic,-0.0456,-0.0835,0.012,-0.0268
parallel,0.0109,-0.0002,0.0018,0.0479
parameter,-0.0164,-0.0108,0.021,0.0099
parameters,-0.1134,-0.1279,0.0514,-0.0723
parametric,-0.0567,0.0357,-0.0227,-0.0779
parametric mapping,-0.0684,-0.0278,-0.0044,-0.0779
parametrically,-0.016,-0.014,-0.0169,0.0037
parietal,0.0007,0.1323,-0.0454,0.0235
parietal cortex,-0.039,0.1432,-0.0354,0.023
parietal cortices,-0.0148,0.1139,-0.0253,0.0111
parietal frontal,0.0246,0.1007,-0.0247,0.0403
parietal junction,0.167,0.0541,-0.0827,0.0037
parietal lobe,-0.0169,-0.0399,-0.0028,-0.0464
parietal lobes,-0.0112,0.0868,-0.0234,-0.0045
parietal lobule,-0.0384,0.0347,-0.0029,-0.0046
parietal lobules,0.0414,0.0431,-0.017,0.0645
parietal network,0.0266,0.2252,-0.0764,0.0681
parietal occipital,-0.0156,-0.0384,0.0192,0.0022
parietal temporal,0.0084,0.0336,-0.0272,0.0136
parieto,-0.0123,-0.093,0.0411,0.0173
parieto occipital,0.0072,-0.0588,0.076,0.0365
parkinson,-0.0682,-0.117,0.0455,-0.0802
parkinson disease,-0.0649,-0.1125,0.0456,-0.0834
pars,0.0783,-0.0091,-0.0265,0.049
pars opercularis,0.044,-0.0432,0.0059,0.0192
partial,-0.0427,-0.0386,0.0209,-0.0504
partially,0.0369,-0.0093,-0.0021,0.0265
participant,-0.0206,-0.0752,0.006,0.0036
participate,-0.0468,-0.0508,-0.0293,-0.0467
participated,-0.0301,0.0588,-0.0372,-0.0389
particular,0.0388,-0.0142,-0.0275,0.0496
particularly,-0.0271,-0.0061,-0.014,-0.003
partly,0.0632,0.0333,-0.0425,0.0441
partner,-0.0037,0.064,0.0033,-0.0254
parts,0.004,-0.0562,-0.0358,0.0404
passive,0.0179,-0.1842,-0.0004,0.0319
passive viewing,0.0899,0.0432,-0.0261,0.0668
passively,0.0797,-0.0005,-0.0228,0.0529
past,0.0349,0.1551,-0.0275,0.0093
pathological,-0.0405,-0.0431,0.0244,-0.0501
pathology,-0.0248,0.0545,0.0163,-0.0938
pathophysiological,-0.0719,-0.0176,0.006,-0.1013
pathophysiology,-0.0907,-0.0176,0.0477,-0.0906
pathway,0.046,-0.044,0.0553,0.0446
pathways,0.0236,-0.0602,0.0702,-0.0081
patient,-0.0346,-0.0986,0.0423,-0.0938
patient group,0.004,-0.0069,0.0055,-0.0516
patient groups,-0.0386,-0.0388,0.026,-0.1048
pattern,0.0041,-0.0345,0.0172,0.0309
patterns,0.0302,-0.0215,0.0025,0.009
pcc,-0.0543,-0.068,0.0602,0.0007
pd,-0.063,-0.0931,0.0698,-0.1012
peak,-0.0469,-0.191,0.0388,-0.0014
people,0.0933,0.0492,-0.0363,0.0192
perceive,0.0051,-0.0586,0.0221,-0.0078
perceived,-0.0268,-0.1387,-0.029,-0.0181
perceiving,0.0671,-0.0324,-0.0138,0.0626
percept,0.0152,-0.0239,-0.0149,0.0555
perception,0.0572,-0.1872,0.0188,0.0317
